Source:,C:\Users\christian.saiz\Documents\0_NOAA\1_NOAA_work\1_XBT\New_Autolauncher\al_kicad_project\AOML_AB_3.0\AOML_AB_3.0_reorganized-v1.kicad_sch,,,,,,,,
Date:,1/24/2024 17:40,,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,
Component Count:,232,,,,,,,,
,,,,,,,,,
Collated Components:,,,,,,,,,
,,,201.37,,,,,,
Item,Qty,Price,Subtotal,Digikey,Value,Reference(s),Datasheet,,Footprint
19,8, $5.65 ,45.2,https://www.digikey.com/en/products/detail/texas-instruments/drv8825pwpr/2695909,DRV8825PWPR,"IC3, IC4, IC5, IC6, IC7, IC8, IC9, IC10",http://www.ti.com/lit/gpn/drv8825,,Capacitor_033uF:CAP_CL21_SAM
29,12, $3.61 ,43.32,https://www.digikey.com/en/products/detail/panasonic-electric-works/TX2-L2-5V/570921,TX2-L2-5V,"K1, K2, K3, K4, K5, K6, K7, K8, K9, K10, K11, K12",https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-21/DSA-416365.pdf,,Capacitor_022uF:CAPC2012X135N
37,1, $38.87 ,38.87,https://www.digikey.com/en/products/detail/vpg-foil-resistors/Y14535K00000V9L/2609897,5k,R10,https://foilresistors.com/docs/63187/zseries.pdf,,Capacitor_1uF-ceramic:CAP_CL21_SAM
26,8, $1.76 ,14.08,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/216548-1/1920151,216548-1,"J16, J17, J18, J19, J20, J21, J22, J23",https://www.te.com/usa-en/product-216548-1.datasheet.pdf,,Capacitor_10uF:CAP_WCAP-ATG5_05.0X11.0_WRE
69,8, $1.28 ,10.24,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/TLP170AM-TPL-E/12698771,TLP170AM,"U10, U11, U12, U13, U14, U15, U16, U17",https://toshiba.semicon-storage.com/info/TLP170AM_datasheet_en_20210524.pdf?did=69016&prodName=TLP170AM,,Capacitor_1000uF_can-smt:CAP_EEV_H13_PAN
25,8, $1.27 ,10.16,https://www.digikey.com/en/products/detail/molex/0436500315/283462,Conn_01x03,"J8, J9, J10, J11, J12, J13, J14, J15",https://tools.molex.com/pdm_docs/sd/436500315_sd.pdf,,Capacitor_01uF-0805:CAP_CL21_SAM
66,1, $7.50 ,7.5,https://www.digikey.com/en/products/detail/stmicroelectronics/STM32F103RBT6TR/2122443,STM32F103RBTx,U6,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1139/STM32F103x8,B.pdf",,Capacitor_100uF:PCAP_8x112_PAN
7,10, $0.39 ,3.9,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ECA-1HM101/245041,100u,"C12, C13, C30, C31, C32, C48, C49, C50, C66, C67","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2452/ECA-xxM%20Series,TypeA.pdf",,Capacitor_047uF:CAP_CL_21_SAM
10,24, $0.10 ,2.4,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661,0.1u,"C33, C34, C35, C36, C37, C38, C39, C40, C41, C51, C52, C53, C54, C55, C56, C57, C58, C59, C68, C69, C70, C71, C72, C73",https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL21B104KBCNNN_Spec.pdf,,Capacitor_20pF-lowESR:CAPC220145_88N_KEM
