Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
IC11,SN74LVC1G3157DCKR,SOT65P210X110-6N,200.95,46.9,0,top
Q1,BSS138,SC-70_SOT323_NEX-M,288.2,28.3,0,top
RN1,746X101103JP,746X101103JP-3,149.374999,85.78,-90,top
RN2,10k,RESCAXS80P320X160X70-8N,215.115,70.24,0,top
RN3,746X101103JP,746X101103JP-3,160.499998,85.78,-90,top
RN4,10k,RESCAXS80P320X160X70-8N,89.608,70.445,0,top
U4,MAX3232,TSSOP-16_4.4x5mm_P0.65mm,186,50,0,top
U5,INA213AIDCKR,DCK0006A_L,24.7,22.7,0,top
U6,STM32F103RBTx,LQFP64-10x10mm,154,53,0,top
U7,AT24C01D-STUM-T,SOT-23-5,184.7443,66,0,top
U18,LMV321B-TR,S5TSOT23-5-A_TPK-M,89.7105,48.950001,0,top
