Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.33u","CAP_CL21_SAM",17.597800,43.160000,0.000000,top
"C2","0.22u","CAPC2012X135N",17.750000,84.000000,0.000000,top
"C3","1u","CAP_CL21_SAM",113.250000,53.000000,0.000000,top
"C6","0.1u","CAP_CL21_SAM",148.475000,61.750000,0.000000,top
"C7","0.1u","CAP_CL21_SAM",141.402800,50.000000,180.000000,top
"C8","0.1u","CAP_CL21_SAM",177.927800,52.000000,180.000000,top
"C9","0.1u","CAP_CL21_SAM",161.975000,59.750000,0.000000,top
"C10","1u","CAP_CL21_SAM",141.402800,47.750000,180.000000,top
"C11","0.1u","CAP_CL21_SAM",158.975000,44.250000,180.000000,top
"C14","1u","CAP_CL21_SAM",118.000000,57.000000,0.000000,top
"C15","0.47u","CAP_CL_21_SAM",189.000000,55.000000,0.000000,top
"C16","0.1u","CAP_CL21_SAM",149.547200,44.250000,180.000000,top
"C17","0.1u","CAP_CL21_SAM",22.897800,41.000000,0.000000,top
"C18","0.1u","CAP_CL21_SAM",25.572200,84.000000,0.000000,top
"C19","0.1u","CAP_CL21_SAM",118.000000,60.000000,0.000000,top
"C20","20p","CAPC220145_88N_KEM",143.000000,57.000000,180.000000,top
"C21","0.1u","CAP_CL21_SAM",173.000000,65.000000,180.000000,top
"C22","0.1u","CAP_CL21_SAM",178.000000,49.000000,0.000000,top
"C23","20p","CAPC220145_88N_KEM",143.000000,54.000000,180.000000,top
"C24","0.1u","CAP_CL21_SAM",186.000000,45.000000,0.000000,top
"C25","0.1u","CAP_CL21_SAM",183.000000,55.000000,0.000000,top
"C26","0.1u","CAP_CL21_SAM",23.700000,18.300000,-90.000000,top
"C27","0.1u","CAP_CL21_SAM",128.369400,70.167800,0.000000,top
"C28","0.1u","CAP_CL21_SAM",190.000000,66.000000,0.000000,top
"C29","0.1u","CAP_CL21_SAM",290.000000,54.000000,0.000000,top
"C33","0.1u","CAP_CL21_SAM",44.000000,29.500000,0.000000,top
